"TIME","GEO","UNIT","PROD_NRG","Value","Flag and Footnotes"
"1990","Switzerland","Thousand","Natural Gas",":",""
"1990","Switzerland","Thousand","Electrical Energy","1",""
"1990","Switzerland","Thousand","Other products",":",""
"1990","Former Yugoslav Republic of Macedonia, the","Thousand","LPG",":",""
"1990","Former Yugoslav Republic of Macedonia, the","Thousand","Natural Gas",":",""
"1990","Former Yugoslav Republic of Macedonia, the","Thousand","Electrical Energy","0",""
"1990","Former Yugoslav Republic of Macedonia, the","Thousand","Other products",":",""
"1990","Turkey","Thousand","LPG",":",""
"1990","Turkey","Thousand","Natural Gas",":",""
"1990","Turkey","Thousand","Electrical Energy",":",""
"1990","Turkey","Thousand","Other products",":",""
"1991","Belgium","Thousand","LPG",":",""
"1991","Belgium","Thousand","Natural Gas",":",""
"1991","Belgium","Thousand","Electrical Energy",":",""
"1991","Belgium","Thousand","Other products",":",""
"1991","Czech Republic","Thousand","LPG",":",""
"1991","Czech Republic","Thousand","Natural Gas",":",""
"1991","Czech Republic","Thousand","Electrical Energy",":",""
"1991","Czech Republic","Thousand","Other products",":",""
"1991","Denmark","Thousand","LPG",":",""
"1991","Denmark","Thousand","Natural Gas",":",""
"1991","Denmark","Thousand","Electrical Energy",":",""
"1991","Denmark","Thousand","Other products",":",""
"1991","Germany (until 1990 former territory of the FRG)","Thousand","LPG",":",""
"1991","Germany (until 1990 former territory of the FRG)","Thousand","Natural Gas",":",""
"1991","Germany (until 1990 former territory of the FRG)","Thousand","Electrical Energy","1",""
"1991","Germany (until 1990 former territory of the FRG)","Thousand","Other products",":",""
"1991","Estonia","Thousand","LPG",":",""
"1991","Estonia","Thousand","Natural Gas",":",""
"1991","Estonia","Thousand","Electrical Energy",":",""
"1991","Estonia","Thousand","Other products",":",""
"1991","Ireland","Thousand","LPG",":",""
"1991","Ireland","Thousand","Natural Gas",":",""
"1991","Ireland","Thousand","Electrical Energy",":",""
"1991","Ireland","Thousand","Other products",":",""
"1991","Spain","Thousand","LPG",":",""
"1991","Spain","Thousand","Natural Gas",":",""
"1991","Spain","Thousand","Electrical Energy",":",""
"1991","Spain","Thousand","Other products",":",""
"1991","France","Thousand","LPG",":",""
"1991","France","Thousand","Natural Gas",":",""
"1991","France","Thousand","Electrical Energy",":",""
"1991","France","Thousand","Other products",":",""
"1991","Croatia","Thousand","LPG",":",""
"1991","Croatia","Thousand","Natural Gas",":",""
"1991","Croatia","Thousand","Electrical Energy",":",""
"1991","Croatia","Thousand","Other products",":",""
"1991","Italy","Thousand","LPG",":",""
"1991","Italy","Thousand","Natural Gas",":",""
"1991","Italy","Thousand","Electrical Energy",":",""
"1991","Italy","Thousand","Other products",":",""
"1991","Cyprus","Thousand","LPG","0",""
"1991","Cyprus","Thousand","Natural Gas","0",""
"1991","Cyprus","Thousand","Electrical Energy","0",""
"1991","Cyprus","Thousand","Other products","0",""
"1991","Latvia","Thousand","LPG",":",""
"1991","Latvia","Thousand","Natural Gas",":",""
"1991","Latvia","Thousand","Electrical Energy",":",""
"1991","Latvia","Thousand","Other products",":",""
"1991","Luxembourg","Thousand","LPG",":",""
"1991","Luxembourg","Thousand","Natural Gas",":",""
"1991","Luxembourg","Thousand","Electrical Energy",":",""
"1991","Luxembourg","Thousand","Other products",":",""
"1991","Hungary","Thousand","LPG",":",""
"1991","Hungary","Thousand","Natural Gas",":",""
"1991","Hungary","Thousand","Electrical Energy",":",""
"1991","Hungary","Thousand","Other products",":",""
"1991","Malta","Thousand","LPG",":",""
"1991","Malta","Thousand","Natural Gas",":",""
"1991","Malta","Thousand","Electrical Energy",":",""
"1991","Malta","Thousand","Other products",":",""
"1991","Netherlands","Thousand","LPG",":",""
"1991","Netherlands","Thousand","Natural Gas",":",""
"1991","Netherlands","Thousand","Electrical Energy",":",""
"1991","Netherlands","Thousand","Other products",":",""
"1991","Austria","Thousand","LPG",":",""
"1991","Austria","Thousand","Natural Gas",":",""
"1991","Austria","Thousand","Electrical Energy",":",""
"1991","Austria","Thousand","Other products",":",""
"1991","Poland","Thousand","LPG",":",""
"1991","Poland","Thousand","Natural Gas",":",""
"1991","Poland","Thousand","Electrical Energy",":",""
"1991","Poland","Thousand","Other products",":",""
"1991","Portugal","Thousand","LPG",":",""
"1991","Portugal","Thousand","Natural Gas",":",""
"1991","Portugal","Thousand","Electrical Energy",":",""
"1991","Portugal","Thousand","Other products",":",""
"1991","Romania","Thousand","LPG",":",""
"1991","Romania","Thousand","Natural Gas",":",""
"1991","Romania","Thousand","Electrical Energy",":",""
"1991","Romania","Thousand","Other products",":",""
"1991","Slovenia","Thousand","LPG",":",""
"1991","Slovenia","Thousand","Natural Gas",":",""
"1991","Slovenia","Thousand","Electrical Energy",":",""
"1991","Slovenia","Thousand","Other products",":",""
"1991","Slovakia","Thousand","LPG",":",""
"1991","Slovakia","Thousand","Natural Gas",":",""
"1991","Slovakia","Thousand","Electrical Energy",":",""
"1991","Slovakia","Thousand","Other products",":",""
"1991","Finland","Thousand","LPG",":",""
"1991","Finland","Thousand","Natural Gas","0",""
"1991","Finland","Thousand","Electrical Energy","0",""
"1991","Finland","Thousand","Other products",":",""
"1991","Sweden","Thousand","LPG",":",""
"1991","Sweden","Thousand","Natural Gas",":",""
"1991","Sweden","Thousand","Electrical Energy",":",""
"1991","Sweden","Thousand","Other products",":",""
"1991","United Kingdom","Thousand","LPG",":",""
"1991","United Kingdom","Thousand","Natural Gas",":",""
"1991","United Kingdom","Thousand","Electrical Energy",":",""
"1991","United Kingdom","Thousand","Other products",":",""
"1991","Iceland","Thousand","LPG",":",""
"1991","Iceland","Thousand","Natural Gas",":",""
"1991","Iceland","Thousand","Electrical Energy","0",""
"1991","Iceland","Thousand","Other products",":",""
