Znamka,Leto,St_prodanih,Delez_na_trgu(%)
Volvo,1996,206173,1.61
Volvo,1997,231307,1.72
Volvo,1998,238414,1.6500000000000001
Volvo,1999,241771,1.58
Volvo,2e3,230979,1.54
Volvo,2001,223684,1.49
Volvo,2002,231818,1.58
Volvo,2003,216733,1.5
Volvo,2004,258988,1.6
Volvo,2005,257607,1.6
Volvo,2006,244082,1.57
Volvo,2007,266045,1.6900000000000002
Volvo,2008,222905,1.54
Volvo,2009,207516,1.42
Volvo,2010,232377,1.6700000000000002
Volvo,2011,250626,1.81
Volvo,2012,231865,1.85
Volvo,2013,230474,1.8800000000000001
Volvo,2014,254225,1.96
Volvo,2015,284567,2.02
Volvo,2016,289747,1.91
